shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.615805722225,-96.3527212353182,16,3553.88
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6301407891596,-96.3246908083374,55,17589.27
2828670d-620c-4206-aac9-4fa44ee4e8b8,30.6116053826574,-96.3240658535996,6,684.05
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6130779154943,-96.3447497096509,12,2029.12
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6396907949263,-96.3582452451137,20,4866.16
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.615152604291,-96.344651809016,10,1789.73
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6156863639168,-96.3438605573094,4,417.82
fa49fc04-98c3-464a-b6d0-da4808def83c,30.6203064692203,-96.3170947919544,5,1443.58
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.605252570227,-96.3473930267926,44,8201.2
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6132375069402,-96.3447631206967,65,21185.04
8d09d153-f475-4f7b-b815-d041ee32d285,30.6063455704657,-96.3467694131594,21,4597.56
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6159156928012,-96.3434448148873,34,8394.44
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6070067350272,-96.3446585145389,16,2548.42
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6310943145212,-96.3545625719167,24,5934.1
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6056186917793,-96.3495227008774,14,1908.22
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6130510934026,-96.3448234704032,5,711.87
fa49fc04-98c3-464a-b6d0-da4808def83c,30.6240722909017,-96.3128247149482,3,858.9
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6382209442986,-96.3211248112395,50,16414.14
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6036083760028,-96.3527185531091,16,2291.59
764b2b11-004d-4943-bf06-88b4d67e463b,30.613787359821,-96.3508383244776,11,2652.7
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6056642893353,-96.3498807758022,42,7876.08
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6273754315004,-96.3277042703452,56,18010.52
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6146563955937,-96.3422807361055,1,131.28
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6025596322155,-96.3578295026916,24,3625.25
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6180037926438,-96.3477457372991,30,7779.62
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6410318995137,-96.3291781442868,20,5879.2
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6278032438638,-96.3348939320382,59,18980.26
764b2b11-004d-4943-bf06-88b4d67e463b,30.6186622749962,-96.3344808718253,2,495.23
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6366840384414,-96.319351870975,52,16666.2
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6198129427322,-96.3563435588088,12,2375.63
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6151660153369,-96.3520587296521,10,1716.44
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6021707118852,-96.3531168611715,17,2455.82
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6375155232856,-96.3197702956063,51,16565.52
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6219493223398,-96.3492692321103,9,1537.53
764b2b11-004d-4943-bf06-88b4d67e463b,30.6092584496295,-96.3470389751815,17,3476.08
