52, 42, 13-11-10 13:34:00, 13-11-10 13:42:00, 12
42, 10, 13-11-10 13:42:00, 13-11-10 13:55:00, 12
10, 42, 13-11-10 14:00:00, 13-11-10 14:08:00, 12
42, 47, 13-11-10 14:08:00, 13-11-10 14:14:00, 12
47, 50, 13-11-10 14:14:00, 13-11-10 14:25:00, 12
50, 52, 13-11-10 14:25:00, 13-11-10 14:34:00, 12
52, 42, 13-11-10 14:34:00, 13-11-10 14:42:00, 12
42, 10, 13-11-10 14:42:00, 13-11-10 14:55:00, 12
10, 42, 13-11-10 15:00:00, 13-11-10 15:08:00, 12
42, 47, 13-11-10 15:08:00, 13-11-10 15:14:00, 12
47, 50, 13-11-10 15:14:00, 13-11-10 15:25:00, 12
50, 52, 13-11-10 15:25:00, 13-11-10 15:34:00, 12
52, 42, 13-11-10 15:34:00, 13-11-10 15:42:00, 12
42, 10, 13-11-10 15:42:00, 13-11-10 15:55:00, 12
10, 42, 13-11-10 16:00:00, 13-11-10 16:08:00, 12
42, 47, 13-11-10 16:08:00, 13-11-10 16:14:00, 12
47, 50, 13-11-10 16:14:00, 13-11-10 16:25:00, 12
50, 52, 13-11-10 16:25:00, 13-11-10 16:34:00, 12
52, 42, 13-11-10 16:34:00, 13-11-10 16:42:00, 12
42, 10, 13-11-10 16:42:00, 13-11-10 16:55:00, 12
10, 42, 13-11-10 17:00:00, 13-11-10 17:08:00, 12
42, 47, 13-11-10 17:08:00, 13-11-10 17:14:00, 12
47, 50, 13-11-10 17:14:00, 13-11-10 17:25:00, 12
50, 52, 13-11-10 17:25:00, 13-11-10 17:34:00, 12
52, 42, 13-11-10 17:34:00, 13-11-10 17:42:00, 12
42, 10, 13-11-10 17:42:00, 13-11-10 17:55:00, 12
10, 17, 13-11-10 09:00:00, 13-11-10 09:09:00, 15
17, 14, 13-11-10 09:09:00, 13-11-10 09:17:00, 15
14, 10, 13-11-10 09:17:00, 13-11-10 09:25:00, 15
10, 17, 13-11-10 09:30:00, 13-11-10 09:39:00, 15
17, 14, 13-11-10 09:39:00, 13-11-10 09:47:00, 15
14, 10, 13-11-10 09:47:00, 13-11-10 09:55:00, 15
10, 17, 13-11-10 10:00:00, 13-11-10 10:09:00, 15
17, 14, 13-11-10 10:09:00, 13-11-10 10:17:00, 15
14, 10, 13-11-10 10:17:00, 13-11-10 10:25:00, 15
10, 17, 13-11-10 10:30:00, 13-11-10 10:39:00, 15
17, 14, 13-11-10 10:39:00, 13-11-10 10:47:00, 15
14, 10, 13-11-10 10:47:00, 13-11-10 10:55:00, 15
10, 17, 13-11-10 11:00:00, 13-11-10 11:09:00, 15
17, 14, 13-11-10 11:09:00, 13-11-10 11:17:00, 15
14, 10, 13-11-10 11:17:00, 13-11-10 11:25:00, 15
10, 17, 13-11-10 11:30:00, 13-11-10 11:39:00, 15
17, 14, 13-11-10 11:39:00, 13-11-10 11:47:00, 15
14, 10, 13-11-10 11:47:00, 13-11-10 11:55:00, 15
10, 17, 13-11-10 12:00:00, 13-11-10 12:09:00, 15
17, 14, 13-11-10 12:09:00, 13-11-10 12:17:00, 15
14, 10, 13-11-10 12:17:00, 13-11-10 12:25:00, 15
10, 17, 13-11-10 12:30:00, 13-11-10 12:39:00, 15
17, 14, 13-11-10 12:39:00, 13-11-10 12:47:00, 15
14, 10, 13-11-10 12:47:00, 13-11-10 12:55:00, 15
10, 17, 13-11-10 13:00:00, 13-11-10 13:09:00, 15
17, 14, 13-11-10 13:09:00, 13-11-10 13:17:00, 15
14, 10, 13-11-10 13:17:00, 13-11-10 13:25:00, 15
10, 17, 13-11-10 13:30:00, 13-11-10 13:39:00, 15
17, 14, 13-11-10 13:39:00, 13-11-10 13:47:00, 15
14, 10, 13-11-10 13:47:00, 13-11-10 13:55:00, 15
10, 17, 13-11-10 14:00:00, 13-11-10 14:09:00, 15
17, 14, 13-11-10 14:09:00, 13-11-10 14:17:00, 15
14, 10, 13-11-10 14:17:00, 13-11-10 14:25:00, 15
10, 17, 13-11-10 14:30:00, 13-11-10 14:39:00, 15
17, 14, 13-11-10 14:39:00, 13-11-10 14:47:00, 15
14, 10, 13-11-10 14:47:00, 13-11-10 14:55:00, 15
10, 17, 13-11-10 15:00:00, 13-11-10 15:09:00, 15
17, 14, 13-11-10 15:09:00, 13-11-10 15:17:00, 15
14, 10, 13-11-10 15:17:00, 13-11-10 15:25:00, 15
10, 17, 13-11-10 15:30:00, 13-11-10 15:39:00, 15
17, 14, 13-11-10 15:39:00, 13-11-10 15:47:00, 15
14, 10, 13-11-10 15:47:00, 13-11-10 15:55:00, 15
10, 17, 13-11-10 16:00:00, 13-11-10 16:09:00, 15
17, 14, 13-11-10 16:09:00, 13-11-10 16:17:00, 15
14, 10, 13-11-10 16:17:00, 13-11-10 16:25:00, 15
10, 17, 13-11-10 16:30:00, 13-11-10 16:39:00, 15
17, 14, 13-11-10 16:39:00, 13-11-10 16:47:00, 15
14, 10, 13-11-10 16:47:00, 13-11-10 16:55:00, 15
10, 17, 13-11-10 17:00:00, 13-11-10 17:09:00, 15
17, 14, 13-11-10 17:09:00, 13-11-10 17:17:00, 15
14, 10, 13-11-10 17:17:00, 13-11-10 17:25:00, 15
120, 180, 13-11-10 09:00:00, 13-11-10 09:07:00, 22
180, 96, 13-11-10 09:07:00, 13-11-10 09:13:00, 22
96, 100, 13-11-10 09:13:00, 13-11-10 09:17:00, 22
100, 120, 13-11-10 09:17:00, 13-11-10 09:25:00, 22
120, 180, 13-11-10 10:00:00, 13-11-10 10:07:00, 22
180, 96, 13-11-10 10:07:00, 13-11-10 10:13:00, 22
96, 100, 13-11-10 10:13:00, 13-11-10 10:17:00, 22
100, 120, 13-11-10 10:17:00, 13-11-10 10:25:00, 22
120, 180, 13-11-10 11:00:00, 13-11-10 11:07:00, 22
180, 96, 13-11-10 11:07:00, 13-11-10 11:13:00, 22
96, 100, 13-11-10 11:13:00, 13-11-10 11:17:00, 22
100, 120, 13-11-10 11:17:00, 13-11-10 11:25:00, 22
120, 180, 13-11-10 12:00:00, 13-11-10 12:07:00, 22
180, 96, 13-11-10 12:07:00, 13-11-10 12:13:00, 22
96, 100, 13-11-10 12:13:00, 13-11-10 12:17:00, 22
