shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
e88ce525-e5a0-42af-af4d-5aede733f371,30.6158888707095,-96.3433107044286,1,266.68
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6112325555821,-96.3235991492032,4,2219.84
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.6141494580596,-96.3399619662739,1,66.29
996c3f41-3f39-4f07-8473-ac189155b1e4,30.6098686522167,-96.3530846746614,9,2045.56
ff761fcd-1ceb-4cef-ba4f-1f5857982a06,30.609051919523,-96.3345881601922,3,862.33
1c1e7c18-acbf-4cd9-bf44-34dacf806c73,30.6220713628573,-96.3581916009302,1,1380.59
3e641743-acb8-4b8d-b214-9b3fb497a261,30.6092584496295,-96.3116820938398,15,7142.67
f4cb3c5f-c56f-4d3d-82db-49e73ddbf288,30.6206417453672,-96.321071167056,4,2504.18
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.6190954517779,-96.3051884654276,19,4763.64
996c3f41-3f39-4f07-8473-ac189155b1e4,30.6076035265686,-96.3578093861228,35,16032.36
3674600a-90ac-40a1-ba63-eda48a9a7872,30.6127828724851,-96.3442937340912,23,4689.01
996c3f41-3f39-4f07-8473-ac189155b1e4,30.6056844059041,-96.3532630415716,37,16652.41
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6173292170363,-96.2980524479182,15,5453.22
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6155053147975,-96.2997476041166,14,5193.69
c301b660-69fb-4525-973d-ff832b31dbeb,30.6090425317909,-96.3345211049629,3,745.48
bd0e02a8-50ae-43d2-8520-1f7d4dfad887,30.6206202876938,-96.3211248112395,7,1700.67
3674600a-90ac-40a1-ba63-eda48a9a7872,30.6125709779603,-96.3424684907477,24,4865.14
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6147382029735,-96.3054124298938,19,6447.57
c89e2bc8-3819-47af-a72c-9d8077509ac1,30.6040455760983,-96.340231528296,12,4472.67
c301b660-69fb-4525-973d-ff832b31dbeb,30.5881615333653,-96.348558446679,19,5402.98
e88ce525-e5a0-42af-af4d-5aede733f371,30.6139563389991,-96.3416571224724,29,5075.08
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.621490664571,-96.3036408307338,26,5788.47
996c3f41-3f39-4f07-8473-ac189155b1e4,30.6108436352517,-96.3540972086249,42,17465.09
a649a8b3-eefd-498c-b3a8-9d7936cad51e,30.5752614483393,-96.3153902480239,26,8482.25
c89e2bc8-3819-47af-a72c-9d8077509ac1,30.5960941669997,-96.336487164288,4,695.19
ff761fcd-1ceb-4cef-ba4f-1f5857982a06,30.5966721830769,-96.32084720259,13,4377.42
ff761fcd-1ceb-4cef-ba4f-1f5857982a06,30.59524444,-96.32368333,18,5285.79
ff761fcd-1ceb-4cef-ba4f-1f5857982a06,30.6046101811296,-96.339103659338,22,7790.43
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.612520015986,-96.3251910403485,40,8547.38
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6090478962092,-96.3346283933299,2,767.61
c301b660-69fb-4525-973d-ff832b31dbeb,30.5865642778018,-96.3455007282198,17,5058.3
f4cb3c5f-c56f-4d3d-82db-49e73ddbf288,30.6092933183487,-96.3343400558436,22,8401.38
a649a8b3-eefd-498c-b3a8-9d7936cad51e,30.5836929728802,-96.3120468742875,18,7177.69
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.614561177168,-96.3394603931582,0,0
c89e2bc8-3819-47af-a72c-9d8077509ac1,30.5944311973114,-96.3398573601161,0,0
f4cb3c5f-c56f-4d3d-82db-49e73ddbf288,30.6089982753395,-96.3344138165959,2,687.02
996c3f41-3f39-4f07-8473-ac189155b1e4,30.6151432165589,-96.3495052665177,5,1089.46
150ff52d-49ef-4879-b785-b166d3da3b95,30.6150077649956,-96.3134094365483,1,83.17
bd0e02a8-50ae-43d2-8520-1f7d4dfad887,30.6242868676356,-96.3154519388349,0,0
3674600a-90ac-40a1-ba63-eda48a9a7872,30.6133126087971,-96.3414412046338,25,4993.37
b8ea702b-5f2e-45d5-bd56-2f68bce0544c,30.5929398890102,-96.3100808149624,27,11403.27
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.621513463349,-96.3031499864548,21,5138.05
bd0e02a8-50ae-43d2-8520-1f7d4dfad887,30.6190766763137,-96.3184814940978,6,1395.2
ff761fcd-1ceb-4cef-ba4f-1f5857982a06,30.6124247975603,-96.337354858956,24,8928.36
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6114940709766,-96.3372462294844,1,398.06
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6080232923045,-96.3128300793666,25,7581.23
ff761fcd-1ceb-4cef-ba4f-1f5857982a06,30.5983753859028,-96.3233228816582,16,4782.06
bd0e02a8-50ae-43d2-8520-1f7d4dfad887,30.6089660888294,-96.3343695601445,12,4785.8
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6063777569757,-96.3162861058882,7,3104.31
996c3f41-3f39-4f07-8473-ac189155b1e4,30.5977048336092,-96.3699343126973,33,14433.51
ced50c5d-f7fd-412f-8e73-29172987ee41,30.61759722,-96.30206389,17,5993.91
